name,lat,lon,town
Chiesetta San Valentino,45.6385048,11.3977294,Malo
Chiesetta di Restele,45.8781317,11.3045914,Longhi
Maria Ausiliatrice,45.8879163,11.0447089,Rovereto
Chiesetta del Carmine,45.6248031,11.3948993,Cereda-Cozza Cornedo
Chiesa Gentilata,45.6612328,11.3748491,Monte di Malo
Chiesa Parrochiale di San Giorgio,45.3571226,11.2807828,Arcole
Chiesa della SS Annunziata,45.7664445,11.7363598,Bassano del Grappa
Chiesa di San Rocco,45.6195295,10.4924065,Roe Volciano
chiesa di Santa Brigida,46.0192886,11.1048126,Romagnano
Chiesa della Nativita di Maria,46.0634052,11.2419539,Pergine Valsugana
Basilica di Sant'Antonio,45.4014621,11.8809333,Padova
Chiesa di San Carlo,46.0628669,11.2423333,Pergine Valsugana
Duomo Nuovo,45.5386164,10.2219581,Brescia
Duomo Vecchio,45.5382009,10.2217404,Brescia
Chiesa della Santissima Trinita,45.8835543,11.0208037,Isera
Chiesa di San Pietro in Mavino,45.4982198,10.6049325,Sirmione
Chiesa Collegiata di Santa Maria Assunta,45.9189664,10.8856744,Arco
Chiesa di Santa Maria del Giogo,45.6763554,10.1346078,Polaveno
Chiesa di San Rocco,46.0429345,11.1369973,Ravina
Santa Maria Maggiore,46.0686445,11.1196680,Trento
Chiesa di San Giorgio,46.0053494,11.1949900,Vigolo Vattaro
chiesa dei Santi Filippo e Giacomo,46.0634539,11.0967417,Trento
Chiesa di Santa Maria Maddalena,45.3188726,10.6589710,Volta Mantovana
Chiesa di San Martino,45.8833887,11.0699186,Trambileno
chiesa di Sant'Antonio di Padova,46.0706909,11.2768784,Vignola
Chiesa della Visitazione di Maria,45.7100649,10.4046093,Vestone
Chiesa di San Lorenzo,45.7140523,10.4060210,Vestone
Chiesa dei Santi Stefano e Giovanni Battista,45.7016717,10.3872247,Vestone
Chiesetta del Mucchione,45.6706460,11.3261376,Monte di Malo
Chiesa di San Marco,45.8886141,11.0458222,Rovereto
Chiesa di Sant'Urbano,45.6012889,11.5336835,Caldogno-Rettorgole-Cresole
Chiesa di San Carlo Borromeo,45.8272245,10.5095231,Ponte Caffaro
Chiesa della Madonna Regina del Rosario,45.8690176,10.5475360,Storo
Chiesa di San Luigi Gonzaga,45.5123640,10.2452473,San Zeno Naviglio
